HIP,RAdeg,DEdeg,Vmag,Plx,e_Plx,pmRA,pmDE,e_pmRA,e_pmDE,B-V,e_B-V,V-I,BTmag,VTmag,Hpmag,SpType,VarFlag,MultFlag,distance_pc,Abs_Vmag,logL_solar,Teff_K
1,211.685227,-25.776936,4.88,256.7912438456498,0.45,-71.45,-26.89,0.78,1.17,1.542,0.012,1.757,6.194,5.024,4.726,M7 V,,G,3.9,6.928,-0.8392,3731.0
2,251.679149,-63.090813,10.67,459.16947828168315,1.88,-1.87,-63.71,2.26,1.4,0.571,0.007,0.634,11.143,10.704,10.615,G2 V,,,2.2,13.98,-3.66,6083.0
3,67.734706,-20.984356,9.32,704.7039616727265,1.55,-49.38,51.55,1.67,1.42,0.021,0.001,-0.008,9.339,9.315,9.317,,,,1.4,13.56,-3.492,9871.0
4,15.771083,20.92814,8.12,717.6692024096728,1.44,-48.21,-40.53,1.24,0.92,1.266,0.029,1.361,9.191,8.228,7.995,M2 V,,,1.4,12.4,-3.028,4183.0
5,73.806823,54.951095,5.53,750.6712309646016,0.32,52.02,-75.62,0.7,1.09,0.269,0.028,0.295,5.775,5.55,5.507,F9 V,,,1.3,9.907,-2.0308,7665.0
6,38.182635,-21.401715,8.91,502.432865912179,1.38,-52.6,-92.48,0.41,0.52,0.467,0.008,0.49,9.267,8.953,8.853,G3 IV,,,2.0,12.415,-3.034,6542.0
7,261.806452,9.868012,7.07,390.2672374192162,0.48,-6.39,11.87,1.55,1.51,0.816,0.016,0.901,7.771,7.153,6.992,,,,2.6,10.027,-2.0788,5233.0
8,244.584188,-24.327251,8.69,309.2235322357001,1.61,-74.98,14.71,0.68,1.42,1.467,0.004,1.605,9.913,8.844,8.554,M4 V,,,3.2,11.141,-2.5244,3844.0
9,170.584453,-10.086466,11.75,688.3091950663364,1.76,-11.16,8.24,0.94,1.67,1.615,0.007,1.827,13.147,11.917,11.586,M0 V,,,1.5,15.939,-4.4436,3628.0
10,161.386497,-8.642145,7.01,571.8624300481071,1.47,69.63,52.78,0.83,0.3,0.708,0.009,0.79,7.613,7.072,6.952,G8 V,,,1.7,10.796,-2.3864,5574.0
11,6.878501,-31.225511,5.47,661.1340787888041,1.3,7.73,-6.69,0.69,2.21,0.357,0.012,0.499,5.762,5.509,5.435,,,,1.5,9.571,-1.8964,7118.0
12,270.935401,-6.312533,7.43,359.4098137513494,0.68,25.21,-7.98,1.55,1.8,1.728,0.001,1.88,8.879,7.585,7.256,M4 V,,,2.8,10.208,-2.1512,3480.0
13,216.881474,-68.028964,8.45,456.80575908098615,0.82,-22.97,-12.28,1.38,0.69,1.569,0.008,1.642,9.79,8.579,8.311,M4 III,,,2.2,11.749,-2.7676,3693.0
14,346.239927,12.206235,7.71,672.8043395694143,1.05,-19.13,-3.87,0.5,1.68,1.336,0.024,1.496,8.845,7.824,7.598,M2 V,P,,1.5,11.849,-2.8076,4058.0
15,239.172713,-24.593618,11.36,582.1776082175735,1.04,-14.84,43.76,1.57,1.86,1.502,0.019,1.669,12.665,11.522,11.197,M4 V,,C,1.7,15.185,-4.142,3791.0
16,218.386663,-8.800587,6.93,320.984456678873,1.19,12.14,17.75,1.03,0.67,1.477,0.018,1.624,8.201,7.066,6.769,,,X,3.1,9.462,-1.8528,3828.0
17,161.694473,-73.864866,8.26,246.2359319325635,0.6,20.44,103.16,1.02,0.3,1.555,0.01,1.784,9.59,8.4,8.101,M3 III,,,4.1,10.217,-2.1548,3713.0
18,81.127499,62.172939,8.05,579.9102824103204,0.99,-100.37,-76.44,1.44,2.25,1.038,0.028,1.106,8.905,8.142,7.94,,D,,1.7,11.867,-2.8148,4653.0
19,241.262747,-3.926318,8.09,631.5767776287245,0.31,-89.96,18.36,2.14,1.14,-0.047,0.027,-0.013,8.043,8.087,8.1,A5 IV,,,1.6,12.092,-2.9048,10752.0
20,264.875973,-27.528072,10.7,653.3881198899512,1.18,45.4,-63.9,0.91,2.06,1.397,0.017,1.511,11.851,10.812,10.558,M0 V,D,,1.5,14.776,-3.9784,3955.0
21,92.87843,16.032063,7.51,346.86154938820863,1.21,-32.68,-19.13,1.78,0.81,1.513,0.015,1.732,8.809,7.661,7.355,M8 V,,,2.9,10.211,-2.1524,3774.0
22,34.395175,-60.058964,6.74,699.2096092738732,0.2,44.32,58.92,1.3,1.27,1.619,0.009,1.817,8.133,6.886,6.564,M9 V,,C,1.4,10.963,-2.4532,3623.0
23,345.927507,-0.520831,8.26,602.2938347109709,0.96,-16.68,37.53,1.29,1.33,1.608,0.014,1.686,9.666,8.418,8.095,M9 V,,,1.7,12.159,-2.9316,3638.0
24,90.636223,8.933264,5.8,633.0459423396092,0.54,54.21,-14.96,0.8,1.32,0.136,0.022,0.104,5.927,5.817,5.803,A0 III,,,1.6,9.807,-1.9908,8694.0
